	+Z+Z	+Z+X	+Z+Y	+Z-Z	+Z-X	+Z-Y	+X+Z	+X+X	+X+Y	+X-Z	+X-X	+X-Y	+Y+Z	+Y+X	+Y+Y	+Y-Z	+Y-X	+Y-Y	-Z+Z	-Z+X	-Z+Y	-Z-Z	-Z-X	-Z-Y	-X+Z	-X+X	-X+Y	-X-Z	-X-X	-X-Y	-Y+Z	-Y+X	-Y+Y	-Y-Z	-Y-X	-Y-Y	Pulse length
64	36543.0	31223.0	32185.0	25304.0	31627.0	31430.0	34556.0	33965.0	31843.0	24468.0	27569.0	29611.0	35311.0	29719.0	33287.0	28434.0	31891.0	28029.0	32759.0	31766.0	32403.0	27589.0	28976.0	27795.0	35256.0	27609.0	29564.0	27566.0	33606.0	32188.0	35257.0	31859.0	27484.0	23436.0	29650.0	34225.0	6.399999999999999e-08
65	38120.0	32695.0	32159.0	26904.0	33309.0	33390.0	37082.0	29295.0	33999.0	30484.0	35314.0	31223.0	36909.0	31045.0	29669.0	26668.0	33371.0	35338.0	34712.0	28832.0	30862.0	29982.0	34593.0	32438.0	36800.0	35008.0	30580.0	24577.0	29744.0	34103.0	36753.0	33610.0	35112.0	28464.0	30993.0	29670.0	6.499999999999999e-08
66	37700.0	31799.0	32567.0	27026.0	32329.0	32356.0	35526.0	33405.0	29017.0	24304.0	30324.0	35257.0	35839.0	34887.0	32988.0	25456.0	29311.0	30990.0	33668.0	33794.0	30474.0	24665.0	28583.0	32673.0	36629.0	30659.0	34823.0	30155.0	33552.0	29064.0	35687.0	28958.0	30799.0	28432.0	35156.0	33380.0	6.6e-08
67	38743.0	33170.0	33012.0	27572.0	33176.0	33406.0	37281.0	33894.0	35620.0	28722.0	31152.0	29671.0	36868.0	29528.0	34039.0	30897.0	35479.0	31451.0	35504.0	31691.0	34913.0	30931.0	32800.0	29419.0	37243.0	31740.0	30192.0	27311.0	33717.0	35974.0	37183.0	35560.0	31991.0	25166.0	30234.0	34147.0	6.699999999999999e-08
68	35570.0	30387.0	30451.0	24436.0	30578.0	29943.0	34003.0	27336.0	29038.0	26686.0	33283.0	31200.0	33641.0	31033.0	27503.0	22342.0	29521.0	32887.0	31972.0	28732.0	27081.0	25426.0	31051.0	32308.0	33521.0	32351.0	31211.0	23855.0	27245.0	28706.0	33920.0	28639.0	33206.0	27995.0	30676.0	27195.0	6.799999999999999e-08
69	38100.0	33170.0	32860.0	27105.0	33142.0	32851.0	36524.0	35586.0	30878.0	24011.0	29272.0	33878.0	36453.0	33840.0	35089.0	28611.0	31077.0	29222.0	34316.0	34419.0	32557.0	26340.0	29424.0	31144.0	36686.0	29475.0	33928.0	30338.0	35631.0	30796.0	36841.0	30883.0	29894.0	26700.0	34174.0	35652.0	6.9e-08
70	38697.0	32781.0	33151.0	27261.0	33100.0	33183.0	37200.0	31284.0	36077.0	30730.0	34184.0	30303.0	37166.0	29456.0	31245.0	29516.0	35819.0	34245.0	34923.0	30142.0	33253.0	30854.0	35097.0	31413.0	36844.0	34004.0	30126.0	25170.0	31635.0	35726.0	37397.0	35489.0	34231.0	26634.0	30182.0	31786.0	6.999999999999999e-08
71	38330.0	32799.0	33339.0	27414.0	33798.0	33479.0	37458.0	31553.0	30020.0	27356.0	34153.0	35804.0	36943.0	35746.0	31825.0	25184.0	30017.0	33910.0	35140.0	33644.0	30142.0	26604.0	31471.0	34874.0	37384.0	33717.0	35303.0	29145.0	31958.0	30468.0	37530.0	30099.0	33954.0	31193.0	35907.0	31928.0	7.099999999999999e-08
72	38207.0	33162.0	33617.0	27759.0	33781.0	33687.0	37068.0	35688.0	33940.0	26519.0	30942.0	32554.0	36918.0	31541.0	35496.0	30743.0	34339.0	30820.0	34879.0	33159.0	35034.0	29612.0	32015.0	30599.0	36613.0	30549.0	31649.0	29489.0	35990.0	34705.0	37274.0	34157.0	30061.0	26133.0	32532.0	35910.0	7.199999999999998e-08
73	38499.0	32562.0	33440.0	27283.0	33125.0	33252.0	37059.0	30548.0	33699.0	30617.0	35193.0	31750.0	36627.0	32019.0	30369.0	27155.0	33437.0	35159.0	35029.0	30124.0	31389.0	30592.0	34526.0	33040.0	36889.0	35484.0	32078.0	24618.0	29583.0	33176.0	36366.0	33367.0	35340.0	28833.0	31509.0	29514.0	7.299999999999999e-08
74	38359.0	32956.0	33035.0	28145.0	32875.0	33305.0	37241.0	33558.0	30395.0	25785.0	30979.0	34923.0	36914.0	34960.0	33805.0	27633.0	29543.0	31031.0	34249.0	34455.0	31767.0	27226.0	29489.0	32780.0	36816.0	30970.0	35176.0	30694.0	33853.0	29410.0	36362.0	29873.0	31349.0	28831.0	35123.0	33143.0	7.399999999999999e-08
75	37106.0	32849.0	31895.0	25987.0	32088.0	31783.0	36186.0	33188.0	34265.0	28123.0	31186.0	29187.0	35864.0	28653.0	32270.0	29802.0	34733.0	31045.0	34057.0	30097.0	33093.0	30131.0	32260.0	29153.0	35643.0	31054.0	28397.0	26456.0	32867.0	34450.0	35990.0	34481.0	30759.0	24826.0	29127.0	32704.0	7.499999999999998e-08
76	36522.0	32784.0	31440.0	27448.0	32438.0	31925.0	35241.0	29808.0	29655.0	28790.0	33935.0	33664.0	34795.0	32930.0	28460.0	25282.0	30678.0	34921.0	32784.0	30679.0	28657.0	27201.0	31552.0	33617.0	34610.0	34029.0	32917.0	26781.0	29544.0	30370.0	35498.0	29801.0	34146.0	29606.0	33106.0	29264.0	7.599999999999999e-08
77	35006.0	29017.0	30096.0	24207.0	28935.0	30062.0	33170.0	31633.0	29601.0	23053.0	27157.0	29479.0	33560.0	30099.0	32412.0	26327.0	29371.0	26845.0	31343.0	31403.0	31423.0	25410.0	26295.0	27687.0	32591.0	26355.0	28952.0	27714.0	31479.0	28715.0	33408.0	30153.0	26269.0	23635.0	29404.0	31881.0	7.699999999999999e-08
78	35425.0	31218.0	31950.0	26337.0	31464.0	31260.0	34612.0	29301.0	32759.0	29031.0	32988.0	29241.0	34775.0	28570.0	29696.0	27497.0	33321.0	32342.0	33572.0	28873.0	31041.0	29088.0	32548.0	30244.0	34773.0	32481.0	28440.0	24645.0	29404.0	32916.0	34566.0	33217.0	32679.0	26315.0	28933.0	29670.0	7.799999999999998e-08
79	35977.0	31727.0	32057.0	26970.0	32141.0	32027.0	35181.0	30943.0	28462.0	25903.0	30879.0	34143.0	34703.0	33415.0	31547.0	25855.0	28720.0	31320.0	33264.0	32246.0	29456.0	25827.0	29282.0	33088.0	34360.0	31586.0	34298.0	29852.0	32746.0	29417.0	35217.0	29016.0	31482.0	29000.0	34352.0	32421.0	7.899999999999999e-08
80	37695.0	32468.0	32041.0	27777.0	33485.0	33136.0	36081.0	31661.0	34861.0	30055.0	33923.0	30581.0	36121.0	28723.0	31926.0	29785.0	35502.0	33524.0	34322.0	29605.0	33183.0	30764.0	34040.0	31908.0	36110.0	32476.0	30107.0	26264.0	31525.0	36044.0	35888.0	35293.0	33015.0	26707.0	30389.0	32356.0	7.999999999999999e-08
81	36525.0	31723.0	31752.0	27510.0	32113.0	31988.0	34832.0	30316.0	28427.0	26300.0	32125.0	34677.0	35290.0	34054.0	30900.0	25490.0	28789.0	31493.0	33829.0	32286.0	28545.0	25552.0	29520.0	33368.0	34892.0	31841.0	34486.0	28744.0	31199.0	28722.0	35035.0	28417.0	31821.0	30033.0	33815.0	31787.0	8.099999999999998e-08
82	37694.0	32538.0	32793.0	27831.0	32504.0	32562.0	35647.0	33962.0	34048.0	27882.0	30858.0	29735.0	35849.0	30083.0	33849.0	30215.0	34460.0	30410.0	33920.0	31578.0	34019.0	29928.0	32155.0	28614.0	36598.0	30537.0	29845.0	26963.0	34171.0	34393.0	36751.0	34808.0	30697.0	25031.0	29846.0	33799.0	8.199999999999999e-08
83	37775.0	32246.0	32723.0	26512.0	32634.0	32640.0	35978.0	29007.0	31384.0	28625.0	34956.0	33148.0	35628.0	33009.0	29315.0	25421.0	31971.0	34949.0	34042.0	29972.0	28957.0	27586.0	33183.0	34146.0	36091.0	34939.0	32838.0	26276.0	29219.0	31340.0	35887.0	30898.0	34966.0	30154.0	33120.0	29543.0	8.299999999999999e-08
84	37540.0	32259.0	32152.0	26394.0	32211.0	32231.0	36145.0	34810.0	30831.0	24325.0	29085.0	32858.0	35956.0	32732.0	34346.0	27558.0	30679.0	29051.0	33975.0	33633.0	32310.0	26657.0	29089.0	30235.0	36187.0	28606.0	32357.0	29527.0	34496.0	31131.0	35835.0	30643.0	29323.0	25845.0	33044.0	34693.0	8.399999999999998e-08
85	39447.0	33504.0	33665.0	27430.0	34154.0	33623.0	37799.0	31526.0	36190.0	30962.0	34708.0	30595.0	38229.0	31178.0	31669.0	29346.0	35772.0	35226.0	36044.0	29758.0	33562.0	31282.0	35453.0	32190.0	37351.0	34663.0	30676.0	25824.0	31928.0	35770.0	37641.0	35311.0	34801.0	27708.0	30822.0	32041.0	8.5e-08
86	38968.0	32876.0	33085.0	26747.0	34500.0	34639.0	37644.0	31898.0	29683.0	26298.0	34903.0	36810.0	36798.0	35470.0	31988.0	26953.0	31873.0	34615.0	35254.0	33679.0	29534.0	28491.0	31873.0	35400.0	36791.0	33356.0	35468.0	31120.0	33874.0	31783.0	37019.0	30049.0	33168.0	32059.0	36448.0	33930.0	8.599999999999999e-08
87	38409.0	33346.0	33430.0	28807.0	33217.0	33673.0	36694.0	34610.0	34553.0	28185.0	30984.0	31623.0	37603.0	31715.0	35030.0	30825.0	34999.0	31415.0	35573.0	33287.0	34590.0	30524.0	32513.0	30881.0	36867.0	30818.0	30891.0	29188.0	35584.0	34252.0	36535.0	35023.0	30850.0	26934.0	31966.0	35331.0	8.699999999999998e-08
88	38829.0	33831.0	33401.0	28533.0	33458.0	33684.0	37171.0	30924.0	33451.0	30600.0	35631.0	33559.0	37147.0	32785.0	30414.0	26848.0	33401.0	36428.0	35202.0	30365.0	31255.0	30197.0	34127.0	34823.0	37244.0	35232.0	32996.0	27589.0	30683.0	33669.0	37618.0	33535.0	35934.0	30519.0	33305.0	30560.0	8.8e-08
89	39387.0	34696.0	34481.0	29930.0	35009.0	35494.0	38359.0	36209.0	32902.0	27764.0	32480.0	36363.0	38391.0	35465.0	36747.0	30117.0	32964.0	32638.0	36864.0	35875.0	34455.0	28627.0	32091.0	34358.0	38305.0	32585.0	36102.0	32665.0	36841.0	33110.0	38184.0	32994.0	32954.0	29978.0	36569.0	36412.0	8.899999999999999e-08
90	36574.0	32311.0	31752.0	27465.0	32287.0	32421.0	35552.0	31571.0	34168.0	29491.0	32200.0	29533.0	35516.0	29134.0	30684.0	28688.0	34695.0	32012.0	33928.0	29401.0	32188.0	29625.0	33316.0	30090.0	35438.0	31709.0	29432.0	25915.0	31663.0	34111.0	34801.0	34475.0	32345.0	26240.0	29668.0	31719.0	8.999999999999999e-08
91	39120.0	33567.0	33953.0	29461.0	34719.0	32783.0	37292.0	32360.0	31732.0	30025.0	35574.0	34974.0	38059.0	36023.0	32757.0	27754.0	31970.0	33799.0	36336.0	34070.0	31047.0	29255.0	33125.0	34397.0	37715.0	35758.0	36201.0	29881.0	33103.0	30042.0	38008.0	32672.0	35994.0	32443.0	35109.0	30937.0	9.099999999999998e-08
92	38725.0	33780.0	33753.0	28021.0	33732.0	33369.0	37405.0	35846.0	34047.0	26936.0	30378.0	32215.0	37429.0	32279.0	35930.0	30730.0	33891.0	30010.0	35775.0	34013.0	34447.0	29357.0	31790.0	30553.0	37477.0	30182.0	32354.0	29688.0	35952.0	33962.0	37432.0	33608.0	30425.0	25813.0	32530.0	35835.0	9.199999999999999e-08
93	37832.0	32715.0	32906.0	26334.0	33111.0	32773.0	36682.0	29651.0	33863.0	29786.0	35468.0	31364.0	36823.0	31451.0	29631.0	26357.0	34176.0	34936.0	34900.0	29935.0	31038.0	29353.0	34897.0	33190.0	36888.0	35122.0	31620.0	24760.0	29679.0	33837.0	37116.0	33143.0	35257.0	27879.0	31822.0	30078.0	9.299999999999999e-08
94	39299.0	33578.0	33852.0	31124.0	36396.0	36078.0	38002.0	35171.0	33316.0	29530.0	34851.0	37214.0	37332.0	36275.0	36282.0	30306.0	33645.0	35111.0	35655.0	35555.0	34103.0	29774.0	33482.0	35834.0	38099.0	31964.0	37141.0	32997.0	36899.0	33909.0	38045.0	30809.0	34808.0	32558.0	37974.0	36767.0	9.399999999999998e-08
95	38284.0	33731.0	31870.0	26738.0	32973.0	32015.0	36506.0	34067.0	34198.0	28590.0	31961.0	29191.0	37011.0	30606.0	32598.0	28803.0	34608.0	31441.0	35594.0	30942.0	33596.0	29865.0	33044.0	29307.0	37011.0	30811.0	29146.0	26643.0	33201.0	34451.0	37061.0	34444.0	31756.0	25279.0	29717.0	32195.0	9.499999999999999e-08
